,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
CsIn5S8,mp-22007,14.84710045,2.4303,470181.304,458447.137,470181.304
CsInSe2,mp-1200720,7.868680357,2.7353,470780.129,450790.46,470780.129
CsK2LaV2O8,mp-1213137,11.46990084,5.1035,471607.848,452727.047,471607.848
BaSr2Mg(SiO4)2,mp-1019558,15.36563276,6.7162,472479.45,471806.377,472479.45
SrPd3O4,mp-7561,3.71565717,0.2841,473070.516,472929.217,473070.516
SrO,mp-2472,18.18768987,4.8634,473271.856,473777.155,473777.155
CsCO2,mp-555131,6.216077143,5.905,474842.075,466966.689,474842.075
Ta2Cd2O7,mp-5548,81.39895014,3.6851,474918.632,476020.864,476020.864
Sr2CaTeO6,mp-11982,12.45525813,5.1253,477800.379,470813.326,477800.379
Na4SnS4,mp-29628,7.837339417,3.2277,478547.719,475878.915,478547.719
Ta2Mo2O11,mp-1186878,21.61627623,3.9759,478622.714,475247.741,478622.714
CsIn3O5,mp-559213,11.2236506,3.0609,478987.842,468795.69,478987.842
CsCuTeS3,mp-1213683,8.1425698,2.6641,480889.664,476342.773,480889.664
CaLaGaO4,mp-559969,11.21101312,5.1907,482168.328,472468.335,482168.328
CsCuO2,mp-553310,6.620356287,2.9399,483978.134,484254.714,484254.714
CsBi3Se5,mp-567928,34.26070386,1.9767,485476.253,475931.857,485476.253
SrMoO4,mp-18834,9.359857783,5.2246,485208.131,485906.642,485906.642
CsCu3S2,mp-7786,6.916412023,2.5865,489498.896,489486.726,489498.896
Na4SnO3,mp-28261,7.73493966,2.7691,490208.456,484306.684,490208.456
CaLaMgTaO6,mp-684801,21.58152766,5.8737,490578.968,472163.198,490578.968
Na5AuSe12,mp-29198,11.02490297,1.6386,490821.358,469718.93,490821.358
Na4SnO4,mp-9655,6.494045937,3.7237,491448.012,480701.797,491448.012
CsBaVS4,mp-1192754,9.221752087,2.4114,495593.858,488153.964,495593.858
Na4Sn3S8,mp-29626,11.4167555,2.8546,495639.676,486417.596,495639.676
SrLiBO3,mp-10814,8.40863869,6.3419,495719.154,486559.877,495719.154
CsCuS4,mp-18003,7.295217983,2.8951,495940.442,489239.519,495940.442
Ag3PS4,mp-12459,10.11410643,2.2785,496135.869,494085.754,496135.869
SrLi(BS2)3,mp-558219,7.350089667,3.9185,496301.078,486179.016,496301.078
SrGeTeO6,mp-10341,9.292995897,4.8251,498473.553,497107.464,498473.553
Cd(GaSe2)2,mp-3772,10.55427454,2.4007,498846.971,498552.883,498846.971
BaSnO3,mp-3163,18.39234442,2.5453,500372.579,500755.807,500755.807
SrLaAl3O7,mp-1218220,10.04208732,6.0857,500968.864,492831.56,500968.864
SrMgB2O5,mp-1020634,7.813370937,6.6475,503201.927,486409.244,503201.927
SrLaGa3O7,mp-1218197,11.37396649,5.0153,504961.556,495842.846,504961.556
SrSn(BO3)2,mp-8000,8.54891536,5.7106,505061.323,504572.271,505061.323
CsAuO,mp-9986,7.470051057,2.4897,505681.145,505445.697,505681.145
CsCeCuS3,mp-510569,12.48015829,1.9525,506117.553,503916.107,506117.553
CsB3O5,mp-3977,5.438779143,7.306,507522.854,498605.094,507522.854
SrGa2B2O7,mp-556046,8.074040323,5.9871,507917.852,506227.736,507917.852
Na4B2O5,mp-27564,6.084614327,5.6094,510050.475,507054.323,510050.475
CsAu3S2,mp-9384,7.941759877,2.6954,511278.403,511421.629,511421.629
SrIn2O4,mp-540688,12.42600264,3.4966,505208.561,513015.023,513015.023
CsZnB(PO4)2,mp-560244,5.83450556,7.0368,513829.597,510954.922,513829.597
CsY(MoO4)2,mp-1213231,6.68827587,5.5867,515865.611,515146.345,515865.611
SrSO4,mp-5285,10.98443153,8.1065,516298.14,513265.22,516298.14
AgBi(PS3)2,mp-556434,24.5911508,2.1036,517790.321,514874.191,517790.321
CsBePO4,mp-15395,6.528661973,7.2426,519768.859,517218.882,519768.859
Na5NbO5,mp-5477,7.48141887,4.1627,520134.561,515906.492,520134.561
Na5InS4,mp-29376,8.76637721,3.0899,521001.973,512387.247,521001.973
SrCrO4,mp-510607,8.813319237,4.1877,521121.631,509882.102,521121.631
SrAgO2,mp-997086,17.72021868,1.5959,521578.816,520111.571,521578.816
Cd(CuSe)2,mp-1096867,1.440279937,0.5204,520878.766,521632.996,521632.996
Na3PS4,mp-28782,8.780212603,3.3336,521886.884,520302.245,521886.884
CsAl(MoO4)2,mp-505784,6.0282434,5.4527,521875.304,521892.832,521892.832
